,text,name,score,time_ms
1140,es el hospital pasteur montevideo,hospital-pasteur-montevideo&hospital-pasteur-montevideo,12.65,17.827
1490,chdica companero por favor pueden volver a ver el tema de bajar la frecuencia de los buses en la zona de paso molino acaban de pasar varios buses hacia el centro repletos hasta la puerta de adelante es realmente preocupante por lo menos en las horas pico como 7 30am,paso-molino&paso-molino-paso-del-molino,12.072,165.548
1601,les traigo un juego a usar la imaginacion en este dibujo estan representados los barrios de montevideo les dejo uno paso molino sigan ustedes https t co amk4lmbfnm,paso-molino&paso-molino-paso-del-molino,12.072,66.479
1907,hay que encontrar barrios de montevideo en la foto nuevo paris paso molino bella italia barros blancos buceo tres arboles tres cruces piedras blancas cerro cerrito dicen que hay 26 sigan ustedes https t co isuh1qr4fq,paso-molino&paso-molino-paso-del-molino,12.072,359.22
1654,mucho favorecer el teletrabajo pero el joaquin suarez a 20km de montevideo no ha llegado la fibra optica vamos arriba anteldetodos todas las ciudades alrededor ya tienen y con 3mbps no da para nada,joaquin-suarez&j-suarez-joaquin-suarez-joaquin-suarez-pueblo-joaquin-suarez-pueblo-joaquin-suarez-suarez-suarez,12.027,69.811
1829,inversionenaut1 mspuruguay y declararnos republica del rio de la plata con 15 deptos excluimos a salto maldonado montevideo colonia que tienen infectados que idea joda no,edificio-rio-de-la-plata&edificio-rio-de-la-plata,12.019,98.856
911,andatelp 1807 el ejercito britanico invade la ciudad de montevideo en el marco de las invasiones inglesas del rio de la plata,edificio-rio-de-la-plata&edificio-rio-de-la-plata,12.019,71.292
881,abbu25 boqui11 diegodelacurva yo en mi empresa lo voy a hacer no creo que la mayoria pueda si obligas mandas directo a la quiebra a muchos no t hablo de coca cola o montevideo shopping te hablo de la ferreteria de la esquina,montevideo-shopping&montevideo-shopping,11.776,34.114
947,troyanosng leagrille tipico de montevideano cree que el pais se acaba en el santa lucia 2000 en todo el pais eso solo se da en u departamento afectado yo tengo la suerte de recorrer el pais y ver que hay mas de 2000 viviendo en la indigencia o sea en la calle,rio-santa-lucia&rio-santa-lucia-rio-santa-lucia-del-plata-rio-santa-lucia-rio-de-santa-lucia-riu-santa-lucia-riu-santa-lucia-rio-santa-lucia-rio-santa-lucia-del-plata-rio-de-santa-lucia-santa-lucia-santa-lucia-river-santa-lucia-santa-lucia-river-santa-lusija-santa-lusija-santa-lusiia,11.642,74.994
590,oli uruguaya nahuesan irenemoreirauy no te enteraste la ultima del anterior gobierno algo qpaso en el puerto de montevideo relacionado con la salud,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,43.747
629,oli uruguaya nahuesan irenemoreirauy y lo del puerto de montevideo qfueron fiscales del msp a fiscalizar una partida qel gobierno anterior mando quemar no te enteraste,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,53.579
1330,por que el doctor tabare vazquez no hizo nada sabiendo que el coronavirus iba a llegar a nuestro pais por el contrario dono millones en insumos medicos a china los cuales hoy nos estan haciendo falta apreto otro tanto de insumos medicos en el puerto de montevideo,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,120.281
154,coronavirus operativo en el puerto porteno por un pasajero infectado dentro de un buque con 400 personas segun trascendio el pasajero es argentino y habria llegado recientemente de europa ademas se habria escapado del hospital de montevideo https t co fcgozldjrc lanacion,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,131.736
493,el 95 de buques pesqueros ilegales que pescan en territorio argentino y que eran patrullados por el arasanjuan tienen asiento en el puerto de montevideo uruguay habra posibilidad que cancilleriaarg haga algo y lo informe si necesita listado tengo disponible armada arg https t co kz5tmd1ips,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,156.637
1948,la ultima version indica que este joven habria escapado del hospital mautone del punta del este y no del clinicas de montevideo mientras todo esto pasa en el puerto de buenos aires argentina comienza esta noche su cuarentena obligatoria coronavirus,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.626,169.325
520,resumen de una hora de oir sarandi a hoy llega un crucero al puerto de montevideo b sigue ingresando gente por el chuy sin control ni cuarentena y c gente esta reservando para ir a brasil en semana de turismo hay dias que querer informarse hace mal a la salud,puerto-de-montevideo&montevideo-port-of-montevideo-puerto-de-montevideo,11.461,104.975
1019,elpaisuy pablo30188062 gracias y bien recibido en estos momentos a mi modo de ver y que viajo todos los dias de montevideo a las piedras deberian plantearse unidades para las horas denominadas pico,las-piedras&las-piedras,11.364,116.996
1602,la bahia y la ciudad de montevideo de fondo los barcos anclados detras de un arco y un paredon de menos de dos metros que divide el campo del agua el estadio olimpico de ramplajuniors es una belleza del futbol nos cuenta mati lovesio desde uruguay https t co y6dmxfesfc,bahia-de-montevideo&bahia-montevideo-bahia-de-montevideo-bahia-de-montevideo-montevideo-bay,11.302,299.568
1725,elojochurrinche pbartol65 midesuy compresidencia montevideoim carlosvarelamvd varias veces notifique q esas senoras necesitan auxilio y nadie parece oir anoche sobre 18 de julio una cantidad de personas tiradas en el piso durmiendo antes tenian cartones y nylon ahora ni eso tambien en calle colonia horrorizada de que humana es la sociedad uruguaya,avenida-18-de-julio&avenida-18-de-julio,11.188,206.698
725,nuestro municipio ch es muy transitado este es el nuevo protocolo del mtop para la proteccion de todos nosotros tambien debemos ayudar lavadodemanos antes de partir y al llegar a nuestro destino usemos alcohol en gel durante el trayecto evitemos aglomeraciones y el contacto,municipio-ch&municipio-ch,11.115,36.611
669,resoluciones de la suprema corte de justicia adjuntamos imagenes y enlaces a las ultimas tres resoluciones de la corte respecto a la contingencia en el interior https t co o9zmgdueka respecto a la contingencia en montevideo https t co rubx4whb9i,edificio-de-la-corte-electoral&edificio-de-la-corte-electoral,11.054,69.379
1164,de no ceer que esto paso en el uruguay el supuesto gobierno izquierdista progresista del uruguay que se preocupa por los mas necesitados y no se cuantas mentira mas iba a destruir los consumos para combatir el coronavirus irresponsables,manos-del-uruguay&manos-del-uruguay,10.842,138.149
1899,finalmente el 11 de diciembre de 2004 con la presencia del director del instituto pasteur de paris y del vicepresidente electo nin novoa se coloco la piedra fundamental del instituto pasteur de montevideo,instituto-pauster-de-montevideo&instituto-pauster-de-montevideo,10.769,155.405
