,ubicacion,texto,matchType,ubicacionEncontrada,scoreMejorMatch,tipoUbicacionEncontrada,time_ms,truthLocation,foundLocation
570,bernabe-rivera#salto,siento mucha tristeza al ver esto en montevideo una persona compartio esta imagen que ocurrio hace minutos en la esquina de salto y bernabe rivera la cantidad de personas en situacion de calle crecio en la capital hay planes para mejorar esta realidad pero duele verla,cruces_vias,bernabe-rivera#salto,7132843.7252,cruces_vias,61.619,True,True
577,tiburcio-gomez#tte-gral-pablo-galarza,quejasyaen la esquina de montevideo shopping hay una montana de basura galarza y tiburcio gomez,cruces_vias,tiburcio-gomez#tte-gral-pablo-galarza,2257383.90514,cruces_vias,24.467,True,True
21,andes#san-jose,hora esperando bus esquina san jose andes llegan tres si 3 116 juntos sera administracion recursos cutcsaok imtransito,cruces_vias,andes#san-jose,1601580.218,cruces_vias,58.606,True,True
583,convencion#durazno,speaker with three sound waves durazno y convencion es una cancion de 1984 que hoy es un tema que se puede escuchar mismo en la esquina sobre la que habla la letraround pushpin ya que es un punto de montevideo sonoro mobile phone headphone,cruces_vias,convencion#durazno,1437408.2448,cruces_vias,19.066,True,True
72,guzman-papini#cno-domingo-arena,montevideoim imambiente chdica en domingo arena y guzman papini asi estan los contenedores ahora https t co w30xqejpzj,cruces_vias,guzman-papini#cno-domingo-arena,1116301.96273,cruces_vias,33.936,True,True
582,leyenda-patria#jose-ellauri,media calzada 26 de marzo entre l a de herrera y marco bruto de 7 a 16 h jose ellauri esquina leyenda patria de 7 a 17 h lagunillas esquina joaquin nunez de 8 a 18 h 8 de octubre desde 18 de julio hasta colonia de 8 a 18 h,cruces_vias,leyenda-patria#jose-ellauri,1073507.01605,cruces_vias,96.707,True,True
20,dr-aquiles-r-lanza#san-jose,hola montevideoim esquina san jose aquiles lanza curandera im boca tormenta destrozada sector notifica reparacion,cruces_vias,dr-aquiles-r-lanza#san-jose,956628.180767,cruces_vias,54.84,True,True
585,hector-gutierrez-ruiz#san-jose,alquiler anual centro de montevideo 1 dormitorio 19 000 hector gutierrez ruiz esquina san jose coordine visitas al 094283539 llamadas o wsp,cruces_vias,hector-gutierrez-ruiz#san-jose,847724.537992,cruces_vias,79.615,True,True
314,san-jose#florida,venia sacandole fotos a la cantidad de hojas y surprise volquetasystem sirven como bano tambien ya se ya se soy una facha desalmada que no respeta el derecho del senor a hacer sus necesidades en la calle florida y san jose 10 30 am montevideo https t co swizng5yr3,cruces_vias,san-jose#florida,718046.5824,cruces_vias,86.091,True,True
11,benito-aizpurua#minnesota,imtransito quiero agradecer trabajo hecho esquina minnesota aizpurua,cruces_vias,benito-aizpurua#minnesota,581546.621789,cruces_vias,11.216,True,True
3,santa-cruz-de-la-sierra#vizcaya,sharito17849631 mvddecide belvederegatos municipioa apaelrefugio montevideoim vizcaya esquina santa cruz sierra,cruces_vias,santa-cruz-de-la-sierra#vizcaya,521006.657877,cruces_vias,36.677,True,True
458,av-brasil#bv-gral-artigas,montevideoim quejasya estoy con mi nieto en la plaza varela bvar artigas y av brasil es lamentable el estado de mugre y abandono de un lugar tan lindo a quien corresponde su cuidado y mantenimiento lo tengo en la hamaca pues el cesped y el pavimento es una mugre bochorno,cruces_vias,av-brasil#bv-gral-artigas,499876.78001,cruces_vias,91.531,True,True
572,blandengues#porongos,en montevideo podes ir a porongos esquina blandengues upside down face,cruces_vias,blandengues#porongos,464273.163333,cruces_vias,12.023,True,True
17,iturbe#av-lezica,vendimia pronto comenzar edicion 2020 fiesta vendimia municipio castillo idiarte borda av lezica esquina iturbe,cruces_vias,iturbe#av-lezica,383560.155,cruces_vias,29.783,True,True
573,av-18-de-julio#dr-aquiles-r-lanza,18 de julio esquina aquiles lanza montevideo uruguay,cruces_vias,av-18-de-julio#dr-aquiles-r-lanza,375748.522679,cruces_vias,34.459,True,True
584,libres#av-gral-san-martin,en la ciudad de montevideo hace ya bastante tiempo estan dibujados los hongos de super mario bros en avenida uruguay esquina arenal grande esta dibujado un hongo rojo en avenida san martin esquina libres esta dibujado un hongo verde smiling face with heart shaped eyes,cruces_vias,libres#av-gral-san-martin,373859.680164,cruces_vias,103.47,True,True
15,ramon-marquez#av-gral-garibaldi,verdenow22 ademas instalan esquina lado enfrente lavadero taxis realizando actividad via publica fijarse ademas complejidad cruce garibaldi termina ahi lado empieza ramon marquez hacen mas angostos carriles,cruces_vias,ramon-marquez#av-gral-garibaldi,342679.517733,cruces_vias,59.2,True,True
0,mercedes#tacuarembo,hola imtransito semaforo esquina tacuarembo esquina mercedes cruzando mercedes mano izquierda quemado foco correspondiente luz verde,cruces_vias,mercedes#tacuarembo,319055.469818,cruces_vias,22.679,True,True
580,cno-de-las-tropas#verdun,cno de las tropas esquina verdun,cruces_vias,cno-de-las-tropas#verdun,1691021.26284,cruces_vias,8.143,True,True
578,tristan-narvaja#paysandu,cheering megaphone modificacion de paradas para lineas 147 y 148 hacia afuera calendar desde el 5 de marzo cross mark se suprime la parada de paysandu esquina tristan narvaja hourglass funciona provisoriamente en tristan narvaja esquina cerro largo,cruces_vias,tristan-narvaja#paysandu,296509.196356,cruces_vias,50.517,True,True
108,av-italia#av-dr-americo-ricaldoni,limpiavidrios que esta siempre en ricaldoni y av italia frente a la ancap vio a un ciego que intentaba cruzar fue y lo ayudo en los dos tramos del cruce este tipo de gestos debemos imitar si pasas por ahi y te pide una moneda dale es buen tipo https t co k6b0vpnfq9,cruces_vias,av-italia#av-dr-americo-ricaldoni,276277.981708,cruces_vias,78.412,True,True
149,av-italia#av-dr-americo-ricaldoni,limpiavidrios que esta siempre en ricaldoni y av italia frente a la ancap vio a un ciego que intentaba cruzar fue y lo ayudo en los dos tramos del cruce este tipo de gestos debemos imitar si pasas por ahi y te pide una moneda dale es buen tipo https t co k6b0vpnfq9,cruces_vias,av-italia#av-dr-americo-ricaldoni,276277.981708,cruces_vias,77.435,True,True
214,av-italia#av-dr-americo-ricaldoni,limpiavidrios que esta siempre en ricaldoni y av italia frente a la ancap vio a un ciego que intentaba cruzar fue y lo ayudo en los dos tramos del cruce este tipo de gestos debemos imitar si pasas por ahi y te pide una moneda dale es buen tipo https t co k6b0vpnfq9,cruces_vias,av-italia#av-dr-americo-ricaldoni,276277.981708,cruces_vias,75.013,True,True
248,av-italia#av-dr-americo-ricaldoni,limpiavidrios que esta siempre en ricaldoni y av italia frente a la ancap vio a un ciego que intentaba cruzar fue y lo ayudo en los dos tramos del cruce este tipo de gestos debemos imitar si pasas por ahi y te pide una moneda dale es buen tipo https t co k6b0vpnfq9,cruces_vias,av-italia#av-dr-americo-ricaldoni,276277.981708,cruces_vias,84.718,True,True
4,arenal-grande#colonia,hecho historico medicina mundial ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,231109.028718,cruces_vias,31.941,True,True
6,arenal-grande#colonia,placa conmemorativa echo historico medicina mundial uruguay ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,231109.028718,cruces_vias,41.789,True,True
7,arenal-grande#colonia,oms placa conmemorativa hecho historico medicina mundial uruguay ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,231109.028718,cruces_vias,45.798,True,True
271,av-gral-san-martin#av-gustavo-a-volpe,ahora en el marco de nuestro plan para la erradicacion de basurales endemicos estamos trabajando en la zona de san martin y volpe les recordamos que pueden ingresar sus reclamos de limpieza y denuncias de mala gestion de residuos en https t co h20vdwcawn https t co yg8zpg8nd6,cruces_vias,av-gral-san-martin#av-gustavo-a-volpe,224295.619772,cruces_vias,86.166,True,True
137,colonia#magallanes,dmartinez uy su discurso senor no es consistente con la realidad de la ciudad fuentes que no funcionan basura que no se levanta o se hace tarde y mal pozos que no se tapan como este de magallanes y colonia lleva dos anos o este de casinoni lleva 9 meses tengo una larga lista montevideoim https t co zidxe1dikc,cruces_vias,colonia#magallanes,216237.1142,cruces_vias,41.455,True,True
23,gral-francisco-caraballo#av-gral-rondeau,alias20301 chdica imtransito montevideoim esquina rondeau caraballo modificaron calles veredas cierre rambla portuaria solo pensaron autos silenciosaviolenciacontraelpeaton,cruces_vias,gral-francisco-caraballo#av-gral-rondeau,196858.239147,cruces_vias,40.26,True,True
139,av-italia#av-dr-luis-alberto-de-herrera,desayunos12 lauraraffo genia totalmente de acuerdo estan haciendo una obra millonaria e innecesaria en av italia y luis a herrera y no hay recursos para sacar a la gente de la basura,cruces_vias,av-italia#av-dr-luis-alberto-de-herrera,185741.741182,cruces_vias,60.705,True,True
31,departamento-de-montevideo&departamento-montevideo-departamento-de-montevideo-montevideo,cris deluca quiosque da facal ali atras mim do gardel do outro lado da rua tem uma pasiva espacio b a av 18 julio esquina 11100 montevideo departamento montevideo uruguai 598 2903 2836,geonames,departamento-de-montevideo&departamento-montevideo-departamento-de-montevideo-montevideo,179171.672131,geonames,71.245,True,True
5,areguati#chayos,imambiente chdica areguati esquina chayos flor maronas,cruces_vias,areguati#chayos,146892.645455,cruces_vias,14.182,True,True
68,,terminando bolsa abajo deposito todavia necesitaria cambio cierre casa portafolio esquina palma montevideo asuncion 1992 cuero asuncion paraguay,,asuncion#paraguay,136367.969524,cruces_vias,42.817,True,False
543,ejido#colonia,martinez no puede con la basura de montevideo podra con toda la basura del uruguay especialmente la cantidad que hay en la calle colonia y ejido no creo https t co knzlvh1hqb,cruces_vias,ejido#colonia,134524.78648,cruces_vias,49.572,True,True
579,arenal-grande#colonia,un hecho historico en la medicina mundial ciudad de montevideo esquina de colonia y arenal grande casmu 1,cruces_vias,arenal-grande#colonia,130577.355755,cruces_vias,37.0,True,True
