,text,name,score,time_ms
0,"Este Jueves 12 de Marzo - 22 hs. Se presenta MONTEVIDEO JAZZ' en Museo del Vino. 

El cuarteto Montevideo Jazz propone un repertorio con obras de reconocidos autores del jazz, otras de autores nacionales tradas al https://t.co/VMq26q0QY6",montevideo,386.291,1221.995
1," Resumen, fecha 3

Montevideo City Torque  1  1  Cerro

 Jos Tancredi (20') y Nicols Ramos (Gol en contra - 41')

  Rodrigo Izquierdo (20')

 3/3

 Se anot el primer gol en contra del torneo https://t.co/SIhemsubRV",francisco-rodrigo|jose-nicolas-oxilia,2099.856,1093.838
2,Maldita ciudad (Montevideo),montevideo,212.998,64.929
3,Ex vivero municipal cuenca del Caneln chico responsable L Herou tutor de el Y .Orsi  as intoxicamos la cuenca del Santa Luca est foto esta a pocos km de aguas corrientes y OSE y va a Montevideo  NO PASA NADA  https://t.co/L2Dg43NImx,ro-santa-luca,219.898,548.124
4,"@MiguelAsqueta acabo de viajar a  desde bs as x micro a Montevideo ,y x micro a Durazno ,y vuelto . Como saben q yo o alguno de los pasajeros no estbamos infectados?",sda-q|sda-x,792.43,101.876
5,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,203.51
6," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,509.494
7,"Para @AlfredoAsti, @CosseCarolina, @rotambor y resto d focas hipcritas q estaban esperando se diera sto, pero la pifiaron pq no saben q en las redes estamos nosotros los ms capacitados!

X las redes perdieron las elecciones y x las redes no van a volver!

Espero las auditoras https://t.co/vdfecbOdcV",sda-q|sda-x,1584.86,182.934
8," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,443.735
9,"@jmartinezjorge @MSPUruguay @montevideoIM @chdica Los chinos ya hicieron tres descubrimientos.
1) El Coronavirus se desarrolla en las poblaciones mas mugrientas (ojo Ciudad de Salto y Hospital de Clnicas)
2) Los fallecidos hombres eran todos consumidores de viagra
3) Los consumidores de yerba mate estn inmunizados",3|2,254.08,1005.794
10,Sangre Roja: Recordando en Sangre Roja junto a Daniel Martinez https://t.co/gRbOd6R0Ga,daniel-muoz|dr-martin-c-martinez,477.968,324.312
11," | Por #MontevideoRock

Se cerrar la circulacin en:

 RAMBLA entre Sarmiento y Tabar
 Desde las 15 h del 12/3 hasta las 22 h del 15/3

 Exhortamos a no estacionar en el circuito del evento https://t.co/ZLPiZa96n4",3-de-15-mts|7-de-12-mts,855.521,648.928
12,"Qu le avisen al intendente de Montevideo de todas las medidas, ni se entero se ve, piensa hacer el Montevideo Rock https://t.co/c0LY3FVnWT va @elpaisuy",montevideo,386.291,120.005
13,"Por mi tuit sobre Daniel Martnez me estn siguiendo votantes de la coalicin oligarca nazi as que quiero dejar constancia de que LA COALICIN ME CHUPA BIEN LA VERGA, rancios.",daniel-muoz|dr-martin-c-martinez,477.968,318.029
